,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
31%,23352,27800,22010,23000,23000,29017,28071,27502,33280,23525,23265,24222,22000,25006,23174,26002,25000,24000,23000,24000,28233,27330,23900,28000,20100,26000,23000,25000,22896,28305,28000,21045,25017,23591,26366,24000,22520,22362,24027,25025,22400,25720,24200,24743,24000,25034,26700,27000,22010,25001,25582
32%,24002,28322,23000,24000,24000,30000,28400,28000,35000,24002,24002,25000,22060,26000,24000,27000,25020,24002,24000,24013,30000,28500,24432,28879,20800,27000,24000,25140,23331,29260,28800,22000,26000,24027,27144,24756,23688,23000,25000,26001,22800,26002,25000,25000,25000,25948,27001,27750,22500,25525,26002
33%,25000,29572,24000,25000,25000,30000,29471,29002,35025,25000,24960,25002,23000,27000,25000,28000,25502,24399,25000,24500,30000,30000,25000,30000,21500,27505,24021,26100,24000,30000,30000,22500,27000,25000,28000,25000,24003,24000,25005,26900,24003,27010,25010,25003,25000,27001,28000,28006,23038,26262,26944
34%,25000,30001,24252,25000,25000,30010,30001,30000,37022,25000,25000,25207,24000,28000,25025,28010,26000,25000,25000,25000,30003,30014,25025,30002,22032,28024,24801,27311,25000,30010,30000,23400,28000,25000,29000,25002,25000,24792,25800,28000,24855,27760,25678,26000,25018,27890,28960,29255,24000,27001,28000
35%,25018,30162,25000,25024,25003,31000,30138,30000,38010,25032,25005,26000,24325,29003,25600,28724,26896,25000,25150,25010,30600,30260,25652,30223,23001,28507,25000,28428,25000,30925,30029,24000,29000,25028,29788,26000,25000,25000,26500,28195,25000,28100,26260,26996,26000,28001,30000,30000,24972,27501,28200
36%,25520,31665,25012,25400,26000,31200,31057,30000,40000,26000,25400,27581,25000,30000,26261,29503,27900,25500,26000,26054,32000,31110,26506,31190,24000,29901,25015,29008,25050,31200,31096,25000,30000,26003,30000,27000,25505,25064,27310,29088,25173,29520,27000,28000,26700,28650,30007,30010,25000,28029,29074
37%,26001,32072,26000,26000,27000,32000,32007,30003,40020,26811,26010,28795,25048,30004,27005,30000,28170,26001,27000,27380,32505,32030,27700,32000,24251,30000,26000,30000,26000,32010,32015,25000,30000,27000,30000,27700,26059,26000,28000,30000,26000,30000,27072,28605,28000,29920,31002,31000,25470,29000,30000
38%,27010,33272,27000,27000,28000,32640,33000,31000,40294,27895,27000,29204,26000,30137,28000,30000,29762,28000,27893,28002,34025,33600,28300,32455,25000,30002,26570,30005,26002,33000,33007,25005,30040,28000,30070,28100,27379,26202,28960,30001,26333,30001,28000,29796,28388,30000,32000,32000,26010,29600,30001
39%,28000,35000,27686,27200,29000,34002,33507,31311,42030,28006,27663,30000,26652,31200,28440,30010,30000,28200,28015,29046,35000,35000,29445,33035,25000,30032,27004,30204,27000,33944,34126,25500,31096,28016,31000,29002,28006,27005,29352,30017,27001,30067,28500,30000,29400,30200,32044,32323,27135,30000,30025
40%,28509,35002,28480,28002,30000,35000,35000,32000,44010,29200,28234,30000,27605,32000,29918,30508,30004,29632,29000,30000,35286,35117,30000,34410,25010,30300,28000,31000,27500,34231,35000,26010,32000,29006,32000,30000,29000,28000,30000,31201,28000,30721,29065,30000,30000,31023,34000,33025,28002,30020,30645
41%,29700,35436,30000,28790,30000,35000,35200,32500,45000,30000,29025,30004,28067,32337,30000,31202,30162,30000,30000,30067,36400,36600,30038,35001,25600,31000,29000,31512,28002,35000,35003,27000,33000,29269,32950,30001,29520,28388,30164,32002,28800,31817,30000,30028,30010,32034,35000,34000,28905,30138,32000
42%,30000,36245,30000,29903,30020,35249,36000,33000,45352,30000,30000,30720,29004,34000,30013,32020,31002,30201,30000,30213,38000,37750,31000,35100,26000,32000,30000,32296,29368,35067,35723,27040,34190,30000,33224,30108,30000,29218,31210,32650,29802,32423,30001,31004,30900,33000,35002,35000,29120,31000,32277
43%,30000,37072,30003,30000,31000,36000,37000,34075,47003,30000,30000,31200,30000,35000,30437,33002,32000,31200,30002,31101,39003,39000,32000,36005,27000,32277,30003,33200,30000,36000,37051,28000,35000,30001,34534,31350,30005,30000,32002,33029,30000,33010,30025,32000,32000,34020,36002,35014,30000,31374,33300
44%,30081,38402,30053,30000,32000,36261,39006,35000,48075,30072,30200,32007,30000,35000,31600,33480,32111,31859,30220,32000,40000,40000,32500,37248,28000,34020,30900,33842,30000,37070,39000,29000,35015,30020,35002,32000,30162,30014,33000,33600,30008,34000,31000,33001,32080,35000,37008,35699,30001,32005,34288
45%,31240,39003,31008,30008,32500,37080,40000,35000,50000,31000,31057,33000,30002,35203,32001,34786,33000,32415,31200,33101,40002,40009,34001,38124,29000,35000,31587,35000,30000,38002,40000,29900,35507,30952,35105,32500,31000,30500,34001,34888,30206,34171,31832,34000,33000,35083,38044,36001,30081,32851,35028
46%,32081,40000,31950,30101,34000,38000,40042,35015,50012,32000,32000,34000,30401,36105,32402,35000,34000,33231,32001,34000,40332,40577,35000,39106,30000,35086,32020,35000,30011,39000,40013,30000,36010,32000,36000,33021,32000,32000,35000,35620,32000,35000,32000,35000,33838,35639,39406,37002,31000,33045,36000
47%,33000,40034,32011,31648,35000,38200,40674,36027,50877,33000,33000,35000,31060,38000,33010,35028,34154,34200,33150,35004,41467,42000,35013,40000,30000,35601,33010,35059,31000,40000,42000,30009,37680,32050,36340,34000,32400,32670,35138,36500,32201,35050,32505,35000,34300,36890,40000,38210,32000,34307,36500
48%,34225,40722,32760,32000,35005,39198,41600,37000,52014,34000,33796,35000,32000,39002,34376,36081,35000,35000,34403,35802,42085,43002,35350,40003,30000,36426,34567,35520,32000,40005,42500,30260,39000,33000,37202,34574,33058,33280,36170,38000,33028,35841,34000,35363,35000,38000,40003,39802,32647,35005,38001
49%,35000,42144,33351,33000,36000,40000,42515,38177,54030,35000,35000,35453,32500,40000,35009,37000,35066,35011,35000,36032,43200,44616,36073,40101,30016,38001,35000,36201,32020,40086,45000,31102,40000,33859,38040,35000,34075,34582,37199,39000,35000,36100,35000,36469,35005,38781,40108,40016,33425,35600,38925
50%,35054,43080,34150,33325,37010,40002,45002,40000,55216,35001,35002,36120,33025,40006,35360,38000,36001,35481,35000,37640,44049,45006,37376,40861,30800,38115,35050,37285,33075,40510,45005,32000,40025,35000,39100,35150,35000,35003,38500,40000,35000,37000,35000,37600,35751,39600,42000,40955,34202,36663,40000
51%,35800,44655,35000,34538,38015,40070,45501,40000,56626,35289,35495,37270,34002,40185,36016,38550,36563,36240,35159,38301,45000,45756,38002,42008,31802,39200,36000,38213,34500,42000,45502,32035,40947,35010,40000,36200,35024,35105,40000,40020,35019,37238,35021,38550,36162,40000,43003,42008,35000,38000,40027
52%,36400,45144,35015,35000,40000,41110,46476,40001,58432,36400,36212,39001,35000,41386,37067,40000,37446,36600,36000,39000,45323,47119,39201,43699,32002,40000,36472,39400,35000,42503,46430,33030,42032,36002,40000,37104,36000,35830,40002,41000,35495,38000,36145,40000,37500,40051,44021,43040,35005,39002,41447
53%,37164,46499,36000,35007,40000,42072,48000,40043,60000,37791,38010,40000,35011,42388,38177,40010,38615,37300,37148,40000,46000,49488,40000,44589,32815,40002,37541,40000,35010,43180,48933,34005,44000,36907,40102,38001,36400,37000,40065,42775,36022,38100,37200,40000,38528,40683,45000,45000,35510,40000,42022
54%,38276,47107,36531,35465,40030,43000,49681,42000,60010,38290,40000,40000,35641,43804,39260,40182,40000,39000,38780,40000,47000,50000,40040,45040,33795,40044,38048,40000,36000,44255,50000,35000,45000,37607,40865,39000,37213,38000,41000,43099,36638,39008,38005,40008,40000,42000,45014,45011,36034,40002,42760
