state,year,quartile,gender,life_expectancy
mn,2014,1,female,82.272415
ms,2001,1,female,80.975616
ms,2002,1,female,82.520042
ms,2003,1,female,82.019318
ms,2004,1,female,81.971703
ms,2005,1,female,81.988708
ms,2006,1,female,81.882439
ms,2007,1,female,83.036819
ms,2008,1,female,83.469849
ms,2009,1,female,81.001335
ms,2010,1,female,81.666969
ms,2011,1,female,82.089134
ms,2012,1,female,81.316063
ms,2013,1,female,80.985146
ms,2014,1,female,80.429794
mo,2001,1,female,81.523888
mo,2002,1,female,81.635414
mo,2003,1,female,81.288651
mo,2004,1,female,81.162804
mo,2005,1,female,81.958069
mo,2006,1,female,81.59626
mo,2007,1,female,82.6231
mo,2008,1,female,81.199471
mo,2009,1,female,80.849731
mo,2010,1,female,81.500084
mo,2011,1,female,80.542496
mo,2012,1,female,82.430565
mo,2013,1,female,81.308762
mo,2014,1,female,80.905075
mt,2001,1,female,84.017479
mt,2002,1,female,80.289787
mt,2003,1,female,85.861084
mt,2004,1,female,85.134895
mt,2005,1,female,83.701744
mt,2006,1,female,84.210602
mt,2007,1,female,84.55603
mt,2008,1,female,83.624168
mt,2009,1,female,83.699837
mt,2010,1,female,85.289864
mt,2011,1,female,83.918037
mt,2012,1,female,84.748833
mt,2013,1,female,82.855858
mt,2014,1,female,85.70533
ne,2001,1,female,84.209824
ne,2002,1,female,83.354111
ne,2003,1,female,82.748032
ne,2004,1,female,81.591454
ne,2005,1,female,83.626251
ne,2006,1,female,83.546509
ne,2007,1,female,84.238037
ne,2008,1,female,84.631531
ne,2009,1,female,83.353012
ne,2010,1,female,85.177399
ne,2011,1,female,83.653488
ne,2012,1,female,81.937973
ne,2013,1,female,81.245087
ne,2014,1,female,81.740593
nv,2001,1,female,81.404694
nv,2002,1,female,80.457191
nv,2003,1,female,78.460709
nv,2004,1,female,81.235893
nv,2005,1,female,82.180511
nv,2006,1,female,81.913284
nv,2007,1,female,82.823235
nv,2008,1,female,82.016495
nv,2009,1,female,81.303902
nv,2010,1,female,82.706848
nv,2011,1,female,81.029137
nv,2012,1,female,83.089569
nv,2013,1,female,81.415001
nv,2014,1,female,83.689804
nh,2001,1,female,79.012802
nh,2002,1,female,80.755875
nh,2003,1,female,86.967773
nh,2004,1,female,84.026405
nh,2005,1,female,82.625031
nh,2006,1,female,81.557152
nh,2007,1,female,82.055557
nh,2008,1,female,83.978119
nh,2009,1,female,80.432579
nh,2010,1,female,79.736504
nh,2011,1,female,82.861832
nh,2012,1,female,81.602409
nh,2013,1,female,86.133446
nh,2014,1,female,80.355766
nj,2001,1,female,82.621483
nj,2002,1,female,82.764206
nj,2003,1,female,82.586777
nj,2004,1,female,82.683937
nj,2005,1,female,83.308647
nj,2006,1,female,82.541489
nj,2007,1,female,83.533424
nj,2008,1,female,81.501907
nj,2009,1,female,82.717918
nj,2010,1,female,83.530548
nj,2011,1,female,83.221657
nj,2012,1,female,83.904228
nj,2013,1,female,84.190918
nj,2014,1,female,84.202232
nm,2001,1,female,86.74791
nm,2002,1,female,83.001961
nm,2003,1,female,82.365799
nm,2004,1,female,83.220856
nm,2005,1,female,82.044823
nm,2006,1,female,85.184425
nm,2007,1,female,83.878868
nm,2008,1,female,84.418205
nm,2009,1,female,85.104866
nm,2010,1,female,84.061661
nm,2011,1,female,85.371651
nm,2012,1,female,85.638275
nm,2013,1,female,85.444611
nm,2014,1,female,83.307961
ny,2001,1,female,81.899284
ny,2002,1,female,83.452103
ny,2003,1,female,82.794044
ny,2004,1,female,83.071815
ny,2005,1,female,83.542564
ny,2006,1,female,83.916626
ny,2007,1,female,84.137932
ny,2008,1,female,84.126366
ny,2009,1,female,83.707275
ny,2010,1,female,84.339218
ny,2011,1,female,84.519188
ny,2012,1,female,83.930161
ny,2013,1,female,84.27607
ny,2014,1,female,85.588257
nc,2001,1,female,81.569099
nc,2002,1,female,81.114876
nc,2003,1,female,81.165504
nc,2004,1,female,82.778793
nc,2005,1,female,82.384956
nc,2006,1,female,82.638695
nc,2007,1,female,83.20739
nc,2008,1,female,83.633629
nc,2009,1,female,81.824089
nc,2010,1,female,82.354012
nc,2011,1,female,81.948662
nc,2012,1,female,83.329033
nc,2013,1,female,82.052757
nc,2014,1,female,82.841812
nd,2001,1,female,84.803024
nd,2002,1,female,84.202736
nd,2003,1,female,79.857178
nd,2004,1,female,83.280205
nd,2005,1,female,82.853943
nd,2006,1,female,84.408638
nd,2007,1,female,83.017281
nd,2008,1,female,85.728523
nd,2009,1,female,83.314842
nd,2010,1,female,83.66787
nd,2011,1,female,89.063744
nd,2012,1,female,80.222473
nd,2013,1,female,80.166084
nd,2014,1,female,87.311493
oh,2001,1,female,79.87706
oh,2002,1,female,81.151932
oh,2003,1,female,81.114136
oh,2004,1,female,81.506516
oh,2005,1,female,81.285995
oh,2006,1,female,81.633636
oh,2007,1,female,82.358444
oh,2008,1,female,81.745689
oh,2009,1,female,80.845253
oh,2010,1,female,81.332809
oh,2011,1,female,81.872398
oh,2012,1,female,81.908615
oh,2013,1,female,81.59993
oh,2014,1,female,82.13501
ok,2001,1,female,82.491089
ok,2002,1,female,80.770042
ok,2003,1,female,80.730019
ok,2004,1,female,82.042549
ok,2005,1,female,80.343445
ok,2006,1,female,80.814903
ok,2007,1,female,81.546326
ok,2008,1,female,80.008209
ok,2009,1,female,80.616074
ok,2010,1,female,80.178238
ok,2011,1,female,79.970093
ok,2012,1,female,81.490623
ok,2013,1,female,78.992188
ok,2014,1,female,81.54351
or,2001,1,female,81.853714
or,2002,1,female,81.469681
or,2003,1,female,83.038795
or,2004,1,female,83.738319
or,2005,1,female,85.195114
or,2006,1,female,82.947205
or,2007,1,female,83.454384
or,2008,1,female,83.708046
or,2009,1,female,81.365616
or,2010,1,female,82.330208
or,2011,1,female,83.589165
or,2012,1,female,84.261116
or,2013,1,female,83.726791
or,2014,1,female,83.865059
pa,2001,1,female,81.062973
pa,2002,1,female,81.377266
pa,2003,1,female,81.680405
pa,2004,1,female,81.720688
pa,2005,1,female,81.947807
pa,2006,1,female,81.847153
pa,2007,1,female,82.472801
pa,2008,1,female,82.243484
pa,2009,1,female,81.295746
pa,2010,1,female,82.315117
pa,2011,1,female,82.174911
pa,2012,1,female,83.216263
pa,2013,1,female,82.084366
pa,2014,1,female,82.352829
ri,2001,1,female,81.719238
ri,2002,1,female,80.537727
ri,2003,1,female,80.98983
ri,2004,1,female,82.591179
ri,2005,1,female,82.965584
ri,2006,1,female,82.171593
ri,2007,1,female,82.839806
ri,2008,1,female,83.595139
ri,2009,1,female,81.839966
ri,2010,1,female,86.589043
ri,2011,1,female,83.633194
ri,2012,1,female,84.095863
ri,2013,1,female,83.189651
ri,2014,1,female,82.991867
sc,2001,1,female,81.771225
sc,2002,1,female,81.519112
sc,2003,1,female,81.634743
sc,2004,1,female,82.390968
sc,2005,1,female,81.918098
sc,2006,1,female,82.287315
sc,2007,1,female,81.96006
sc,2008,1,female,83.296577
sc,2009,1,female,80.93576
sc,2010,1,female,81.414101
sc,2011,1,female,83.359436
sc,2012,1,female,81.743622
sc,2013,1,female,83.685089
sc,2014,1,female,82.04599
sd,2001,1,female,77.861603
sd,2002,1,female,82.642204
sd,2003,1,female,85.595665
sd,2004,1,female,83.660034
sd,2005,1,female,80.722954
sd,2006,1,female,81.699554
sd,2007,1,female,80.934959
sd,2008,1,female,83.31842
sd,2009,1,female,83.737549
sd,2010,1,female,83.616737
sd,2011,1,female,82.822121
sd,2012,1,female,82.733383
sd,2013,1,female,80.822998
sd,2014,1,female,81.540344
tn,2001,1,female,82.374176
tn,2002,1,female,82.873924
tn,2003,1,female,82.112816
tn,2004,1,female,81.523926
tn,2005,1,female,82.239868
tn,2006,1,female,83.71608
tn,2007,1,female,81.874962
tn,2008,1,female,83.100716
tn,2009,1,female,81.841629
tn,2010,1,female,81.478294
tn,2011,1,female,81.988922
tn,2012,1,female,81.857971
tn,2013,1,female,81.83403
tn,2014,1,female,82.581787
tx,2001,1,female,81.468689
tx,2002,1,female,82.421112
tx,2003,1,female,82.69957
tx,2004,1,female,82.951904
tx,2005,1,female,83.298027
tx,2006,1,female,83.375496
tx,2007,1,female,83.426254
tx,2008,1,female,83.070976
tx,2009,1,female,82.555077
tx,2010,1,female,83.417595
tx,2011,1,female,83.511436
tx,2012,1,female,82.333847
tx,2013,1,female,83.144646
tx,2014,1,female,83.772377
ut,2001,1,female,83.476196
ut,2002,1,female,82.838806
ut,2003,1,female,84.700935
ut,2004,1,female,81.210533
ut,2005,1,female,84.364532
ut,2006,1,female,83.334633
ut,2007,1,female,85.442078
ut,2008,1,female,83.631592
ut,2009,1,female,83.419418
ut,2010,1,female,83.311523
ut,2011,1,female,83.26123
ut,2012,1,female,84.527832
ut,2013,1,female,84.621941
ut,2014,1,female,83.944031
vt,2001,1,female,82.023109
vt,2002,1,female,81.742638
vt,2003,1,female,82.264702
vt,2004,1,female,82.008202
vt,2005,1,female,83.99987
vt,2006,1,female,84.644409
vt,2007,1,female,84.733665
vt,2008,1,female,85.220238
vt,2009,1,female,83.700012
vt,2010,1,female,84.093246
vt,2011,1,female,81.479614
vt,2012,1,female,84.849724
vt,2013,1,female,85.492661
vt,2014,1,female,82.742996
va,2001,1,female,81.204086
va,2002,1,female,81.822174
va,2003,1,female,82.550873
va,2004,1,female,81.648552
va,2005,1,female,80.421822
